person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,gasto_mensual,ahorro_mensual,indice_endeudamiento,loan_grade_score,score_crediticio
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,49481.239838692556,20518.760161307444,0.39285714285714285,3.0,24.561683306220953
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,45132.77457273286,28067.22542726714,0.36953551912568305,2.0,12.368026538228445
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,59070.830966634894,23929.169033365106,0.3253012048192771,3.0,23.041529775764722
24,73399,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,52235.05264865846,21163.947351341543,0.36785242305753485,2.0,35.195315407270364
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,42543.00992402952,19956.990075970483,0.416,4.0,51.99860716829872
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,83314.00510965977,36685.994890340226,0.21333333333333335,4.0,52.5817889913134
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,7635.848426599085,4724.151573400915,0.12944983818770225,3.0,42.738934430587
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,43841.65426036311,16158.34573963689,0.4245833333333333,4.0,53.71147119177484
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,131790.2752883401,89213.72471165989,0.053845179272773346,2.0,14.399859653599565
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,53969.88063749885,29030.11936250115,0.30481927710843376,4.0,53.71147119177484
22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4,7536.225159747182,5063.774840252818,0.15873015873015872,5.0,67.90532997352557
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,7401.548252750309,5198.451747249691,0.1388888888888889,3.0,42.71235367292908
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,25127.97498010097,17372.02501989903,0.5882352941176471,3.0,24.780974556898766
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,22836.950609604664,18163.049390395336,0.6097560975609756,2.0,35.195315407270364
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,9181.73225520026,3634.2677447997394,0.2340823970037453,3.0,25.922352290729687
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,7923.012966046186,5036.987033953814,0.2816358024691358,4.0,54.42915164853858
24,225000,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,146165.40476186146,78834.59523813854,0.02666666666666667,4.0,54.94588157740847
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,8139.743066781947,4820.256933218053,0.3472222222222222,4.0,54.38768566659223
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,8026.527983161997,4969.472016838003,0.18467220683287167,3.0,23.041529775764722
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,29249.350652204244,12750.649347795756,0.5952380952380952,2.0,13.05248104791979
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,34919.13255367766,13080.867446322343,0.5208333333333334,4.0,55.84298214836315
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,7165.593718646683,5830.406281353317,0.2770083102493075,2.0,32.8030472180579
22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,9055.575843303863,3940.4241566961373,0.3654970760233918,4.0,53.71147119177484
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,26838.279658208365,15521.720341791635,0.5901794145420207,1.0,3.8592602043528657
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,33063.816000704246,15936.183999295754,0.5102040816326531,4.0,52.47706080614121
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,144916.5118322474,80083.4881677526,0.1111111111111111,,
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,152340.3389711834,72659.6610288166,0.013333333333333334,5.0,65.31370610187872
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,157346.55477151132,67653.44522848868,0.03333333333333333,5.0,63.30340340021051
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,163571.77357649597,61428.226423504035,0.1111111111111111,4.0,53.081773042858806
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,29314.20766370998,20149.79233629002,0.5054180818372959,4.0,53.1532752809586
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,33917.95403026528,16082.045969734718,0.5,5.0,65.02291261310111
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,28364.865049877768,21635.134950122232,0.5,5.0,65.05773340563299
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,27882.03457233315,16117.965427666852,0.5681818181818182,2.0,31.076892815752817
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,33285.725979824085,16714.274020175915,0.5,4.0,54.38768566659223
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,29362.372525333176,20641.627474666824,0.49996000319974404,4.0,52.895707739253396
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,30392.78905328779,19611.21094671221,0.49996000319974404,3.0,43.6293898121272
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,33275.62088418962,18724.379115810378,0.4807692307692308,4.0,54.866139304434725
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,7697.218510291279,5502.781489708721,0.375,5.0,66.25732299873476
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,164723.62882965902,55276.37117034098,0.11363636363636363,4.0,52.08499463068694
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,124599.93733769484,91400.06266230516,0.09722222222222222,5.0,64.3583936716532
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,149301.19406459338,66698.80593540662,0.11574074074074074,2.0,31.819559184714997
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,131528.23616442995,84471.76383557005,0.09259259259259259,3.0,22.556430948507753
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,145978.62380112082,69021.37619887918,0.05581395348837209,5.0,63.80179260629644
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,31371.82450741332,20628.17549258668,0.4807692307692308,3.0,41.73710567446014
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,27195.923860127477,18804.076139872523,0.5434782608695652,2.0,35.851594313844316
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,33142.07512974381,19857.92487025619,0.4716981132075472,3.0,25.55022168351887
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,27351.089835090148,19648.910164909852,0.5319148936170213,2.0,12.593962978320732
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,34668.40104256899,12331.598957431008,0.5319148936170213,1.0,20.09106567573602
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,9049.025229598694,4150.974770401306,0.10606060606060606,4.0,56.102144535527835
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,7375.129893900758,5824.870106099242,0.3409090909090909,3.0,44.3654109916749
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,152098.68529763282,57901.31470236718,0.0761904761904762,4.0,55.191753585744195
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,149668.85341957773,60331.14658042227,0.10476190476190476,4.0,54.38768566659223
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,28148.91463929388,19851.08536070612,0.5208333333333334,,
22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,38064.4169790169,16931.583020983097,0.4545785148010764,4.0,54.94588157740847
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,Y,4,30569.590125529903,24430.409874470097,0.45454545454545453,2.0,17.913570008399518
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,40820.43199840243,14179.568001597567,0.45454545454545453,4.0,53.46559918343912
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,34839.85418573593,20160.14581426407,0.45454545454545453,2.0,13.58250135561864
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,37323.46482875241,17840.53517124759,0.4531941121020956,3.0,25.689770661222923
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,37767.22561091739,18232.77438908261,0.44642857142857145,3.0,41.9696873039669
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,117386.89901087171,86113.10098912829,0.09828009828009827,3.0,43.091129469554396
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,129444.60692643323,60555.39307356677,0.11578947368421053,,
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,10050.491998494548,3869.508001505452,0.5567528735632183,1.0,23.151308304891923
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,40380.00698210185,19619.993017898152,0.4166666666666667,4.0,53.71147119177484
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,33407.488635254645,26592.511364745355,0.4166666666666667,4.0,53.631728918801095
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,33302.937923921934,20697.062076078066,0.46296296296296297,2.0,12.892996501972293
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3,8416.165075101522,5583.834924898478,0.2857142857142857,2.0,35.195315407270364
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,142805.33788449282,57194.66211550718,0.06,4.0,51.34737860567977
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,122578.17729856262,77421.82270143738,0.06,3.0,41.557685560269206
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,118565.45732051917,81434.54267948083,0.08,3.0,43.255664359456894
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,39665.50646346129,14334.493536538706,0.46296296296296297,1.0,23.29750247201046
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,44527.119102762634,15472.880897237366,0.4166666666666667,3.0,43.297130341403246
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,36642.90818627323,23357.091813726773,0.4166666666666667,4.0,55.43762559407992
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,39164.46441831299,20835.535581687007,0.4166666666666667,4.0,54.94588157740847
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,37885.040451593755,24073.959548406245,0.4034926322245356,3.0,42.06271995576961
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,37631.58711781628,18768.412882183722,0.4432624113475177,2.0,14.041019425217696
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,141819.02855055718,58180.97144944282,0.125,3.0,41.225426089545245
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,142877.23681996533,57122.76318003467,0.12,5.0,66.5297757647284
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,116456.54349724588,83543.45650275412,0.075,3.0,41.928221322020555
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,135295.09415476024,64704.90584523976,0.0775,4.0,51.81254186469331
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,118795.53526185926,81204.46473814074,0.05,5.0,65.86525682328048
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,49472.48080904734,16527.519190952662,0.3787878787878788,4.0,53.19474126290494
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,37032.8428070012,28967.1571929988,0.3787878787878788,3.0,24.561683306220953
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,139844.29445742664,60155.705542573356,0.045,5.0,67.40694076743962
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,126200.23060239159,73799.76939760841,0.03,4.0,51.89892932708153
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,139673.7511637265,60326.2488362735,0.09,2.0,31.65342944935302
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,149142.20586127674,50857.79413872326,0.06,4.0,52.88241736042443
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,117163.95415741212,82836.04584258788,0.11525,3.0,42.220609656257636
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,141076.91940841428,58923.08059158572,0.1,4.0,53.71147119177484
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,Y,2,36923.37067435039,23076.629325649606,0.4166666666666667,1.0,6.186671344880016
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,10187.72911201892,4212.27088798108,0.20833333333333334,4.0,54.94588157740847
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,46185.70182975048,20810.298170249524,0.37315660636455905,2.0,12.640479304222088
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,44775.948587188024,22224.051412811976,0.373134328358209,5.0,66.25732299873476
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,37743.160889281324,29256.839110718676,0.373134328358209,4.0,53.71147119177484
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,42132.75737290932,25867.24262709068,0.36764705882352944,2.0,14.619150904277376
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,43264.55167161667,25735.448328383332,0.36231884057971014,2.0,29.64153190222534
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,111053.97208501562,88946.02791498438,0.06,4.0,53.38585691046537
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,140238.50108267032,47761.49891732968,0.10638297872340426,1.0,20.217324274611123
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,110393.79140370616,89606.20859629384,0.015,3.0,42.50635280108023
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,39481.032428180726,30514.967571819274,0.35716326647236984,2.0,32.3910454743602
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,8373.241635273625,6026.758364726375,0.2777777777777778,4.0,53.71147119177484
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,43029.11889768911,26970.881102310886,0.35714285714285715,4.0,54.3677500983488
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,9852.08981212186,4547.91018787814,0.4166666666666667,5.0,65.29536537909476
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,32331.533855445592,23768.466144554408,0.44563279857397503,2.0,32.77487161494051
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,44933.94104334839,21066.058956651606,0.3787878787878788,2.0,12.56073703124834
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,41939.30865151046,24060.69134848954,0.3787878787878788,4.0,54.55381540195421
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,9947.483248950904,4452.516751049096,0.3732638888888889,5.0,65.19063719392257
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,42678.89632814564,29933.103671854362,0.3442957086982868,3.0,41.81020275801941
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,49973.57069736883,24026.42930263117,0.33783783783783783,4.0,54.13011812488703
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,45633.32120615938,29366.67879384062,0.3333333333333333,4.0,52.895707739253396
24,192000,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,Y,2,128748.09948223412,63251.900517765884,0.11458333333333333,3.0,24.70282712938449
21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4,133476.46730787688,58523.53269212312,0.10416666666666667,5.0,67.1610687591039
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,122683.31838389326,68316.68161610674,0.05235602094240838,4.0,53.9225224075787
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,N,3,127265.8385866014,63034.1614133986,0.0788229111928534,5.0,62.96954908402708
22,190000,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,N,3,118846.92707424177,71153.07292575823,0.05263157894736842,3.0,44.4533932995226
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,48613.8861907965,26386.113809203503,0.3333333333333333,4.0,55.43762559407992
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,49158.767920590246,21841.232079409754,0.352112676056338,2.0,14.617556058817902
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,122879.87668169486,67120.12331830514,0.10526315789473684,4.0,54.155104037085465
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,113960.58092790468,76035.41907209532,0.12631844880944862,4.0,53.1532752809586
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,10.99,1,0.32,Y,2,55035.54349938334,22964.45650061666,0.32051282051282054,3.0,24.70282712938449
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,56989.283344907395,21010.716655092605,0.32051282051282054,4.0,53.957343200110564
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,54792.38954591734,23711.610454082664,0.3184551105676144,4.0,53.87760092713682
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,105079.26465237494,80920.73534762506,0.053763440860215055,4.0,55.43762559407992
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,134745.71244027474,50254.28755972526,0.08108108108108109,3.0,40.37484184449193
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,38685.38774077873,23364.61225922127,0.40290088638195004,2.0,12.56073703124834
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,57751.63122539038,21664.36877460962,0.3147980255867835,2.0,12.640479304222088
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,8926.535488219652,5473.464511780348,0.4340277777777778,3.0,40.740327262288275
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,51908.75437620949,27722.245623790513,0.3139480855445744,2.0,12.314865022912615
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,52835.05271793229,26796.94728206771,0.3139441430580671,3.0,44.119538983339176
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,10.99,0,0.1,N,4,7953.676524442888,6446.323475557112,0.10416666666666667,3.0,45.68780368515624
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,53278.152597741115,26721.847402258885,0.3125,5.0,64.6390864725208
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,50278.92711650885,29721.07288349115,0.3125,3.0,43.946764058562714
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,121245.76038748417,63754.23961251583,0.13513513513513514,4.0,52.23118879780549
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,122100.8189746374,62899.1810253626,0.02702702702702703,5.0,63.93469639458602
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,123783.17932867841,61208.82067132159,0.11892406158104134,2.0,15.607689281575283
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,120122.29729194462,63877.70270805538,0.01358695652173913,4.0,51.918864895324965
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,123281.3892957011,48718.6107042989,0.11627906976744186,3.0,25.523640925860946
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,124388.87223502496,58611.12776497504,0.1092896174863388,4.0,53.37921172105089
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,10.99,0,0.01,N,2,108851.35482380488,74148.64517619512,0.00546448087431694,5.0,61.735138698393456
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,120589.68601004966,62362.313989950344,0.08198871835235472,5.0,66.2655630336087
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,44962.28019421767,29041.719805782333,0.33781957732014484,1.0,23.60982637449097
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,10.99,1,0.34,Y,4,49430.41595384127,24573.58404615873,0.33781957732014484,2.0,17.913570008399518
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,45832.01347822473,35167.98652177527,0.30864197530864196,5.0,65.42826916738433
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,54505.536416588955,27094.463583411045,0.30637254901960786,4.0,53.46559918343912
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,59049.317638037566,22950.682361962434,0.3048780487804878,4.0,52.968804822812665
24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,46591.794802491524,36408.205197508476,0.30120481927710846,4.0,53.62508372938662
24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,53085.64746126507,29914.35253873493,0.30120481927710846,2.0,15.396638065771425
24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,128151.83589891158,51848.16410108842,0.1,1.0,3.5719222140707894
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,9493.26589421619,4906.734105783809,0.2777777777777778,1.0,20.908423973716943
22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,8204.237669137841,6195.762330862159,0.14583333333333334,4.0,54.84620373619128
22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,61304.37103788625,23195.628962113748,0.2958579881656805,,
24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,48587.523313375204,36412.476686624796,0.29411764705882354,4.0,55.191753585744195
24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,103457.83650339213,76542.16349660787,0.07777777777777778,4.0,51.81254186469331
